iter	Passed	Remaining
0	135	135514
1	138	69323
2	142	47243
3	146	36417
4	150	29858
5	153	25376
6	156	22170
7	162	20114
8	165	18276
9	169	16777
10	176	15880
11	179	14786
12	182	13836
13	184	12966
14	186	12244
15	198	12233
16	200	11578
17	201	10994
18	203	10490
19	204	10017
20	205	9581
21	206	9190
22	207	8825
23	208	8481
24	209	8163
25	210	7870
26	210	7597
27	211	7353
28	212	7122
29	213	6904
30	214	6703
31	215	6515
32	216	6348
33	217	6189
34	218	6035
35	219	5889
36	220	5748
37	221	5616
38	222	5491
39	223	5368
40	224	5250
41	225	5142
42	226	5038
43	227	4937
44	228	4844
45	229	4753
46	230	4666
47	231	4588
48	232	4517
49	233	4445
50	235	4376
51	236	4308
52	237	4242
53	238	4175
54	239	4108
55	239	4045
56	240	3983
57	241	3925
58	242	3870
59	243	3814
60	244	3763
61	246	3728
62	247	3684
63	248	3637
64	250	3597
65	251	3552
66	251	3507
67	252	3462
68	253	3418
69	254	3380
70	255	3339
71	255	3298
72	256	3261
73	257	3227
74	258	3194
75	260	3163
76	261	3131
77	262	3102
78	263	3071
79	264	3042
80	265	3014
81	266	2984
82	267	2949
83	267	2921
84	268	2893
85	269	2867
86	270	2842
87	271	2817
88	272	2794
89	274	2770
90	275	2747
91	276	2724
92	277	2703
93	278	2681
94	279	2659
95	280	2638
96	281	2617
97	282	2596
98	283	2575
99	284	2557
100	285	2537
101	286	2519
102	287	2501
103	288	2483
104	289	2466
105	290	2451
106	291	2435
107	293	2420
108	294	2404
109	295	2388
110	296	2371
111	296	2354
112	297	2336
113	298	2319
114	299	2302
115	300	2286
116	300	2268
117	301	2254
118	302	2240
119	303	2227
120	304	2213
121	305	2199
122	306	2186
123	307	2173
124	308	2159
125	309	2146
126	310	2132
127	311	2120
128	312	2106
129	312	2092
130	313	2079
131	314	2068
132	315	2057
133	316	2046
134	317	2036
135	318	2025
136	319	2014
137	321	2006
138	322	1997
139	323	1987
140	324	1978
141	325	1966
142	326	1958
143	327	1948
144	328	1938
145	329	1927
146	330	1916
147	331	1906
148	332	1896
149	332	1886
150	333	1877
151	334	1868
152	336	1862
153	337	1854
154	338	1846
155	339	1838
156	341	1831
157	342	1822
158	342	1814
159	343	1805
160	344	1795
161	345	1786
162	346	1777
163	347	1769
164	347	1761
165	348	1752
166	349	1744
167	350	1738
168	352	1733
169	353	1726
170	354	1718
171	355	1711
172	356	1705
173	357	1697
174	358	1690
175	359	1683
176	360	1676
177	361	1668
178	362	1661
179	363	1654
180	364	1647
181	365	1640
182	366	1634
183	367	1628
184	368	1622
185	369	1615
186	369	1608
187	371	1603
188	372	1597
189	373	1592
190	374	1586
191	375	1580
192	376	1575
193	377	1568
194	378	1561
195	379	1554
196	379	1548
197	380	1542
198	382	1538
199	383	1533
200	384	1527
201	385	1522
202	386	1517
203	387	1511
204	388	1505
205	389	1500
206	390	1494
207	391	1489
208	392	1483
209	393	1478
210	393	1473
211	395	1468
212	396	1466
213	398	1462
214	399	1457
215	400	1451
216	401	1447
217	401	1442
218	402	1436
219	403	1431
220	404	1426
221	405	1420
222	406	1415
223	407	1411
224	408	1406
225	409	1401
226	410	1397
227	411	1394
228	413	1390
229	414	1386
230	415	1382
231	416	1377
232	417	1372
233	417	1367
234	418	1362
235	419	1356
236	419	1351
237	420	1346
238	421	1341
239	422	1336
240	422	1331
241	423	1327
242	424	1323
243	425	1319
244	427	1316
245	428	1312
246	429	1308
247	430	1304
248	431	1300
249	432	1296
250	433	1292
251	434	1288
252	434	1284
253	435	1279
254	436	1275
255	437	1271
256	438	1267
257	439	1262
258	439	1258
259	440	1255
260	442	1252
261	443	1248
262	444	1244
263	445	1241
264	446	1237
265	447	1233
266	448	1229
267	448	1226
268	449	1222
269	450	1218
270	452	1216
271	453	1213
272	454	1209
273	455	1206
274	456	1203
275	457	1201
276	459	1198
277	459	1194
278	460	1190
279	461	1186
280	462	1182
281	462	1178
282	463	1174
283	464	1170
284	465	1167
285	466	1163
286	466	1160
287	467	1156
288	469	1153
289	470	1150
290	471	1147
291	472	1145
292	473	1142
293	474	1139
294	475	1136
295	476	1133
296	477	1130
297	478	1128
298	479	1125
299	480	1121
300	481	1119
301	482	1116
302	483	1113
303	484	1110
304	485	1106
305	486	1103
306	487	1101
307	489	1099
308	490	1096
309	491	1093
310	492	1090
311	493	1087
312	494	1084
313	495	1081
314	496	1078
315	496	1075
316	497	1072
317	498	1069
318	499	1066
319	500	1063
320	501	1060
321	502	1058
322	503	1056
323	504	1053
324	505	1050
325	506	1047
326	507	1044
327	508	1042
328	509	1039
329	510	1036
330	511	1033
331	512	1030
332	513	1027
333	513	1024
334	514	1021
335	515	1019
336	516	1016
337	517	1014
338	518	1011
339	519	1008
340	520	1006
341	521	1003
342	522	1000
343	523	998
344	524	995
345	525	993
346	526	990
347	527	987
348	528	984
349	528	982
350	529	979
351	530	976
352	531	974
353	532	971
354	533	969
355	534	967
356	535	964
357	536	962
358	537	959
359	538	957
360	539	955
361	540	952
362	541	950
363	542	947
364	543	945
365	544	942
366	545	940
367	545	937
368	546	934
369	547	932
370	549	930
371	550	928
372	551	926
373	552	924
374	553	922
375	554	920
376	555	918
377	556	915
378	557	913
379	558	911
380	559	908
381	560	906
382	561	904
383	562	902
384	563	900
385	564	898
386	565	896
387	566	894
388	567	891
389	568	889
390	569	887
391	570	884
392	571	882
393	572	880
394	573	877
395	573	875
396	574	873
397	575	870
398	576	868
399	577	866
400	579	865
401	580	863
402	581	861
403	582	859
404	583	857
405	584	855
406	585	853
407	586	851
408	587	848
409	588	846
410	589	844
411	590	842
412	591	840
413	591	837
414	592	835
415	594	833
416	594	831
417	595	829
418	596	827
419	597	825
420	598	822
421	599	820
422	599	818
423	600	815
424	601	813
425	602	811
426	602	808
427	603	806
428	604	804
429	604	801
430	605	799
431	606	797
432	607	795
433	608	793
434	609	791
435	610	789
436	611	787
437	612	785
438	613	783
439	614	781
440	614	779
441	615	777
442	616	775
443	617	773
444	618	771
445	619	769
446	620	767
447	621	765
448	622	763
449	623	762
450	624	760
451	625	758
452	626	756
